date,pool_price,visser_prod,bissell_prod,month,combined_production,combined_revenue
2025-01-01,36.689565217391305,0.1,,1,0.1,3.6689565217391307
2025-01-02,117.15304347826088,0.2,,1,0.2,23.43060869565218
2025-01-03,36.93782608695653,0.2,,1,0.2,7.387565217391305
2025-01-04,27.4108695652174,0.1,,1,0.1,2.74108695652174
2025-01-05,48.33304347826088,0.2,,1,0.2,9.666608695652178
2025-01-06,77.4108695652174,0.1,,1,0.1,7.74108695652174
2025-01-07,15.362608695652172,0.2,,1,0.2,3.0725217391304347
2025-01-08,17.677391304347825,6.3,,1,6.3,111.3675652173913
2025-01-09,53.71478260869566,18.5,,1,18.5,993.7234782608697
2025-01-10,11.231739130434782,4.0,,1,4.0,44.92695652173913
2025-01-11,22.76,0.8,,1,0.8,18.208000000000002
2025-01-12,53.66130434782609,1.0,,1,1.0,53.66130434782609
2025-01-13,8.52913043478261,0.5,,1,0.5,4.264565217391305
2025-01-14,15.937391304347829,1.4,,1,1.4,22.31234782608696
2025-01-15,19.89782608695652,10.4,,1,10.4,206.9373913043478
2025-01-16,9.31608695652174,13.0,,1,13.0,121.10913043478263
2025-01-17,31.08304347826087,13.3,,1,13.3,413.4044782608696
2025-01-18,37.48304347826087,5.4,,1,5.4,202.4084347826087
2025-01-19,36.43826086956522,6.4,,1,6.4,233.20486956521742
2025-01-20,35.159130434782604,4.8,,1,4.8,168.7638260869565
2025-01-21,15.107826086956525,16.5,,1,16.5,249.27913043478267
2025-01-22,17.645217391304346,8.3,,1,8.3,146.4553043478261
2025-01-23,21.36260869565217,15.8,,1,15.8,337.5292173913043
2025-01-24,18.187826086956523,15.4,,1,15.4,280.09252173913046
2025-01-25,21.617391304347827,22.3,,1,22.3,482.06782608695653
2025-01-26,13.982173913043477,30.6,,1,30.6,427.8545217391304
2025-01-27,12.577391304347826,21.1,,1,21.1,265.3829565217391
2025-01-28,22.85434782608696,14.6,,1,14.6,333.6734782608696
2025-01-29,20.23391304347826,0.5,,1,0.5,10.11695652173913
2025-01-30,29.573043478260868,0.4,,1,0.4,11.829217391304347
2025-01-31,34.213478260869564,0.4,,1,0.4,13.685391304347826
2025-02-01,63.98173913043478,0.3,,2,0.3,19.194521739130433
2025-02-02,46.61086956521739,0.1,,2,0.1,4.661086956521739
2025-02-03,382.2686956521739,0.2,,2,0.2,76.45373913043478
2025-02-04,209.25260869565216,0.2,,2,0.2,41.850521739130436
2025-02-05,50.01826086956522,0.2,,2,0.2,10.003652173913045
2025-02-06,42.31173913043478,0.1,,2,0.1,4.231173913043478
2025-02-07,46.98869565217392,0.2,,2,0.2,9.397739130434784
2025-02-08,34.35304347826087,0.2,,2,0.2,6.870608695652175
2025-02-09,30.43913043478261,0.2,,2,0.2,6.087826086956522
2025-02-10,43.94869565217391,0.3,,2,0.3,13.184608695652173
2025-02-11,167.29478260869564,0.2,,2,0.2,33.45895652173913
2025-02-12,38.68782608695653,0.2,,2,0.2,7.737565217391306
2025-02-13,48.32173913043479,0.2,,2,0.2,9.66434782608696
2025-02-14,45.6604347826087,0.2,,2,0.2,9.13208695652174
2025-02-15,58.74782608695652,0.2,,2,0.2,11.749565217391305
2025-02-16,44.4195652173913,0.3,,2,0.3,13.32586956521739
2025-02-17,23.971739130434784,0.4,,2,0.4,9.588695652173914
2025-02-18,44.09782608695652,0.4,,2,0.4,17.63913043478261
2025-02-19,29.61869565217392,0.5,,2,0.5,14.80934782608696
2025-02-20,29.51521739130435,0.3,,2,0.3,8.854565217391304
2025-02-21,13.731739130434782,2.8,,2,2.8,38.448869565217386
2025-02-22,7.345217391304348,23.5,,2,23.5,172.61260869565217
2025-02-23,1.4456521739130437,36.2,,2,36.2,52.33260869565218
2025-02-24,20.442608695652176,43.3,,2,43.3,885.1649565217391
2025-02-25,16.87217391304348,44.3,,2,44.3,747.4373043478261
2025-02-26,12.211304347826088,25.0,,2,25.0,305.2826086956522
2025-02-27,6.989565217391304,35.4,,2,35.4,247.43060869565215
2025-02-28,19.07608695652174,46.5,,2,46.5,887.0380434782609
2025-03-01,18.28217391304348,35.4,,3,35.4,647.1889565217391
2025-03-02,27.352608695652176,42.6,,3,42.6,1165.2211304347827
2025-03-03,25.169565217391305,37.4,,3,37.4,941.3417391304348
2025-03-04,28.733478260869564,48.2,,3,48.2,1384.953652173913
2025-03-05,52.73217391304348,47.9,,3,47.9,2525.8711304347826
2025-03-06,43.77913043478261,49.3,,3,49.3,2158.3111304347826
2025-03-07,18.94695652173913,44.8,,3,44.8,848.8236521739129
2025-03-08,14.82913043478261,40.4,,3,40.4,599.0968695652174
